"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","view_history","phase","trial_name","trial_num","key_selected","card_selected","reward","question_order","type_of_trial","block_type","block","index_right","index_left","prob_selected","prob_unselected"
"html-keyboard-response","600","878410","0.0-5.0-2.0-1.2-2.111","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/catch_trial/20.jpg' style='transform: rotate(180deg);'><img class=surprise src='images/surprise.jpg'>","null","","exp","choice","11","1","5","","","2","3","","5","4","",""
"html-keyboard-response","601","879166","0.0-5.0-2.0-1.2-3.111","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/catch_trial/20.jpg' style='transform: rotate(180deg);'><img class=surprise src='images/surprise.jpg'>","null","","exp","reward","11","1","5","1","","2","3","2","5","4","0.5","0.5"
"html-keyboard-response","602","880077","0.0-5.0-2.0-1.2-0.112","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","603","880672","0.0-5.0-2.0-1.2-1.112","5c71b17c891e3200012477a2","","","","","","593","<img class='card_left' src='images/old/14.jpg'><img class='card_right' src='images/old/13.jpg'><div class=""fixation"">+</div>","s","","exp","cards","12","","","","","0","3","","","","",""
"html-keyboard-response","604","881176","0.0-5.0-2.0-1.2-2.112","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/14.jpg'><div class=""fixation"">+</div>","null","","exp","choice","12","0","1","","","0","3","","0","1","",""
"html-keyboard-response","605","881942","0.0-5.0-2.0-1.2-3.112","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/14.jpg'><img class=reward src='images/zero_coins.png'>","null","","exp","reward","12","0","1","0","","0","3","2","0","1","0.9","0.5"
"html-keyboard-response","606","882857","0.0-5.0-2.0-1.2-0.113","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","607","883386","0.0-5.0-2.0-1.2-1.113","5c71b17c891e3200012477a2","","","","","","528","<img class='card_left' src='images/catch_trial/46.jpg' style='transform: rotate(180deg);'><img class=surprise src='images/surprise.jpg'><img class='card_right' src='images/catch_trial/48.jpg' style='transform: rotate(180deg);'>","k","","exp","cards","13","","","","","2","3","","","","",""
"html-keyboard-response","608","883896","0.0-5.0-2.0-1.2-2.113","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/catch_trial/48.jpg' style='transform: rotate(180deg);'><img class=surprise src='images/surprise.jpg'>","null","","exp","choice","13","1","7","","","2","3","","7","6","",""
"html-keyboard-response","609","884655","0.0-5.0-2.0-1.2-3.113","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/catch_trial/48.jpg' style='transform: rotate(180deg);'><img class=surprise src='images/surprise.jpg'>","null","","exp","reward","13","1","7","0","","2","3","2","7","6","0.5","0.5"
